number_of_qubits,number_of_classical_bits,depth,width,total_operations,single_qubit_gates,two_qubit_gates,three_qubit_gates,measurement_gates,parameterized_gates,entangling_gates,gate_ccx,gate_cp,gate_cx,gate_cz,gate_h,gate_measure,gate_rx,gate_ry,gate_rz,gate_s,gate_sdg,gate_swap,gate_sx,gate_t,gate_x,gate_y,gate_z
4,4,52,8,163,114,45,0,4,0,45,0,0,17,15,13,4,0,0,0,15,16,13,23,0,24,17,6
5,5,10,10,41,27,9,0,5,10,9,0,5,1,2,4,5,2,2,1,1,0,1,4,5,5,1,2
12,12,24,24,212,137,56,7,12,47,63,7,10,16,19,21,12,12,16,9,10,0,11,15,15,9,20,10
10,10,15,20,116,72,34,0,10,0,34,0,0,5,15,7,10,0,0,0,10,13,14,9,0,9,14,10
5,5,50,10,194,140,42,7,5,40,49,7,11,6,12,8,5,7,9,13,25,0,13,12,15,20,17,14
4,4,6,8,13,5,3,1,4,2,4,1,1,1,0,0,4,0,1,0,0,0,1,2,1,1,0,0
3,3,47,6,115,91,18,3,3,36,21,3,5,4,6,13,3,11,7,13,9,0,3,6,6,6,9,11
10,10,29,20,211,132,59,10,10,67,69,10,24,16,9,12,10,11,15,17,14,0,10,8,12,18,10,15
7,7,91,14,217,140,70,0,7,140,70,0,0,70,0,0,7,0,70,70,0,0,0,0,0,0,0,0
5,5,10,10,31,9,15,2,5,7,17,2,6,3,3,0,5,0,1,0,1,0,3,1,0,0,4,2
8,8,35,16,193,105,73,7,8,46,80,7,14,20,20,11,8,5,14,13,9,0,19,8,13,8,17,7
4,4,9,8,23,16,2,1,4,7,3,1,0,0,2,0,4,2,3,2,1,0,0,4,3,0,0,1
5,5,5,10,20,10,5,0,5,4,5,0,2,2,1,3,5,0,1,1,1,0,0,1,0,1,0,2
6,6,48,12,192,101,74,11,6,58,85,11,32,15,14,16,6,5,12,9,11,0,13,13,11,10,8,6
12,12,15,24,108,32,56,8,12,20,64,8,14,18,9,2,12,1,2,3,5,0,15,3,3,4,4,5
6,6,39,12,211,184,19,2,6,169,21,2,15,1,3,5,6,52,50,52,5,0,0,9,2,3,5,1
6,6,46,12,210,142,58,4,6,65,62,4,17,10,20,21,6,13,21,14,11,0,11,10,12,12,12,16
7,7,41,14,210,135,59,9,7,58,68,9,17,15,16,15,7,16,11,14,9,0,11,11,20,20,6,13
10,10,32,20,211,103,87,11,10,52,98,11,20,18,20,9,10,10,11,11,12,0,29,12,13,7,9,9
7,7,34,14,211,181,19,4,7,176,23,4,17,0,1,2,7,50,55,54,4,0,1,5,5,3,0,3
4,4,58,8,177,127,37,9,4,57,46,9,11,6,5,15,4,20,9,17,9,0,15,9,10,9,16,13
2,2,7,4,10,7,1,0,2,4,1,0,0,0,0,1,2,1,0,3,0,0,1,0,1,0,1,0
4,4,53,8,195,175,15,1,4,160,16,1,11,2,1,5,4,47,50,52,4,0,1,5,3,5,3,1
11,11,10,22,100,80,8,1,11,70,9,1,8,0,0,5,11,21,20,21,1,0,0,2,0,5,3,2
2,2,11,4,19,14,3,0,2,3,3,0,1,1,1,3,2,1,0,1,4,0,0,0,2,1,2,0
9,9,19,18,99,26,56,8,9,25,64,8,16,7,13,2,9,4,1,4,3,0,20,2,1,1,4,4
11,11,37,22,216,126,67,12,11,56,79,12,13,27,16,13,11,8,20,15,17,0,11,8,14,11,9,11
2,2,10,4,15,12,1,0,2,1,1,0,1,0,0,4,2,0,0,0,2,0,0,2,3,1,0,0
4,4,38,8,104,66,32,2,4,28,34,2,11,6,10,11,4,4,7,6,7,0,5,7,8,6,5,5
9,9,4,18,26,8,8,1,9,6,9,1,3,3,0,0,9,2,1,0,1,0,2,0,1,1,2,0
10,10,30,20,212,122,72,8,10,56,80,8,22,15,19,15,10,11,7,16,10,0,16,17,13,6,16,11
7,7,40,14,207,135,57,8,7,44,65,8,16,20,9,9,7,10,11,7,20,0,12,19,9,14,19,17
3,3,50,6,119,88,25,3,3,37,28,3,10,4,4,8,3,8,6,13,9,0,7,14,5,7,8,10
12,12,23,24,212,138,60,2,12,65,62,2,21,8,16,8,12,15,16,13,8,0,15,16,14,16,20,12
9,9,32,18,212,134,62,7,9,67,69,7,18,19,13,14,9,20,12,17,9,0,12,9,14,16,12,11
2,2,31,4,49,34,13,0,2,0,13,0,0,7,3,7,2,0,0,0,6,4,3,4,0,8,3,2
6,6,10,12,52,39,6,1,6,10,7,1,1,3,1,3,6,4,2,3,2,0,1,3,4,4,3,11
6,6,30,12,102,55,34,7,6,39,41,7,19,4,4,8,6,6,6,8,5,0,7,5,4,5,6,2
11,11,25,22,213,146,50,6,11,54,56,6,11,14,12,16,11,16,17,10,18,0,13,14,12,22,11,10
10,10,85,20,220,140,70,0,10,140,70,0,0,70,0,0,10,0,70,70,0,0,0,0,0,0,0,0
5,5,36,10,163,146,7,5,5,128,12,5,7,0,0,5,5,32,52,37,5,0,0,1,3,5,1,5
10,10,11,20,102,84,8,0,10,69,8,0,6,1,0,9,10,22,23,18,2,0,1,1,0,2,3,4
12,12,30,24,177,111,50,4,12,43,54,4,21,9,10,7,12,7,10,5,15,0,10,19,16,9,14,9
2,2,54,4,91,72,17,0,2,17,17,0,2,0,9,8,2,6,4,5,6,0,6,7,10,5,11,10
9,9,23,18,88,33,46,0,9,46,46,0,37,4,0,12,9,4,3,2,4,0,5,2,1,1,2,2
3,3,47,6,103,67,28,5,3,26,33,5,7,4,5,8,3,5,6,8,5,0,12,7,10,6,8,4
12,12,31,24,193,125,54,2,12,49,56,2,10,19,15,18,12,5,18,16,11,0,10,11,10,16,12,8
7,7,9,14,42,16,17,2,7,8,19,2,4,6,6,1,7,2,2,0,2,0,1,2,3,4,0,0
3,3,59,6,139,100,34,2,3,49,36,2,10,10,11,7,3,12,11,16,10,0,3,9,10,10,6,9
11,11,30,22,218,109,84,14,11,69,98,14,29,16,19,10,11,15,12,13,14,0,20,4,7,13,6,15
6,6,48,12,206,129,60,11,6,57,71,11,19,13,15,18,6,6,15,17,12,0,13,22,7,8,12,12
3,3,36,6,73,37,31,2,3,20,33,2,6,8,9,4,3,4,5,5,3,0,8,6,1,2,3,4
10,10,27,20,210,147,46,7,10,51,53,7,15,14,6,17,10,10,19,7,8,0,11,21,11,20,23,11
9,9,11,18,75,42,24,0,9,0,24,0,0,6,5,6,9,0,0,0,6,4,13,6,0,7,6,7
9,9,14,18,109,86,11,3,9,83,14,3,9,1,1,2,9,24,24,26,3,0,0,1,1,0,1,4
12,12,25,24,222,142,58,10,12,72,68,10,23,12,14,11,12,18,14,17,13,0,9,15,16,13,9,16
6,6,39,12,208,181,16,5,6,164,21,5,14,1,0,6,6,54,62,34,4,0,1,5,8,3,2,3
4,4,51,8,155,110,33,8,4,47,41,8,10,12,6,12,4,18,6,13,12,0,5,9,14,7,11,8
7,7,38,14,211,149,55,0,7,0,55,0,0,17,20,26,7,0,0,0,20,20,18,21,0,21,24,17
10,10,23,20,111,74,24,3,10,30,27,3,9,5,5,8,10,6,8,7,9,0,5,6,4,7,7,12
3,3,27,6,51,37,10,1,3,18,11,1,3,2,3,3,3,7,4,4,4,0,2,4,1,4,4,2
7,7,39,14,209,138,64,0,7,0,64,0,0,23,25,19,7,0,0,0,18,19,16,26,0,15,16,25
4,4,24,8,90,82,2,2,4,70,4,2,1,0,0,3,4,20,27,22,3,0,1,2,2,0,2,1
6,6,35,12,132,80,39,7,6,29,46,7,9,9,8,10,6,6,6,8,13,0,13,11,5,7,4,10
8,8,36,16,210,124,78,0,8,0,78,0,0,18,32,14,8,0,0,0,18,21,28,23,0,13,17,18
3,3,33,6,72,45,21,3,3,21,24,3,5,6,5,4,3,7,5,4,3,0,5,5,1,5,5,6
4,4,8,8,26,16,6,0,4,9,6,0,3,2,1,0,4,1,2,3,1,0,0,1,1,1,3,3
5,5,50,10,184,120,52,7,5,52,59,7,17,13,11,17,5,9,10,16,11,0,11,8,16,15,8,10
9,9,89,18,225,144,72,0,9,144,72,0,0,72,0,0,9,0,72,72,0,0,0,0,0,0,0,0
4,4,47,8,144,109,27,4,4,46,31,4,10,6,7,12,4,14,12,10,15,0,4,12,7,9,8,10
5,5,12,10,41,22,12,2,5,7,14,2,2,6,3,8,5,1,1,3,2,0,1,0,2,0,0,5
5,5,21,10,59,30,23,1,5,23,24,1,15,1,2,7,5,1,4,3,2,0,5,2,1,5,3,2
9,9,31,18,213,146,50,8,9,47,58,8,14,17,8,20,9,12,13,8,21,0,11,14,18,19,8,13
5,5,53,10,205,147,49,4,5,61,53,4,15,11,7,21,5,17,17,12,5,0,16,20,12,16,15,12
2,2,22,4,35,25,8,0,2,7,8,0,1,3,3,3,2,0,1,5,3,0,1,2,3,2,4,2
12,12,24,24,214,137,56,9,12,59,65,9,20,14,13,12,12,16,16,7,17,0,9,18,12,17,12,10
6,6,52,12,206,131,62,7,6,61,69,7,26,11,11,18,6,12,14,9,8,0,14,13,17,14,15,11
7,7,22,14,82,55,19,1,7,14,20,1,2,6,8,9,7,7,2,3,5,0,3,6,7,5,2,9
6,6,14,12,59,33,15,5,6,20,20,5,7,2,3,2,6,5,3,5,3,0,3,5,3,2,3,2
2,2,52,4,86,66,18,0,2,29,18,0,6,3,4,3,2,7,8,8,7,0,5,4,11,9,3,6
11,11,17,22,128,69,37,11,11,37,48,11,11,5,11,5,11,10,8,8,10,0,10,8,5,6,2,7
11,11,6,22,51,27,11,2,11,11,13,2,3,5,2,7,11,4,3,1,1,0,1,1,2,4,4,0
7,7,46,14,179,55,91,26,7,38,117,26,25,22,24,10,7,4,3,6,6,0,20,9,7,2,2,6
12,12,14,24,157,136,7,2,12,120,9,2,5,1,0,5,12,42,29,44,1,0,1,2,3,5,4,1
12,12,24,24,216,144,48,12,12,65,60,12,12,9,11,20,12,22,14,17,4,0,16,13,17,9,14,14
12,12,20,24,222,193,16,1,12,175,17,1,15,0,1,4,12,51,55,54,7,0,0,5,3,4,5,5
12,12,17,24,119,33,63,11,12,33,74,11,20,18,17,3,12,7,2,4,4,0,8,3,5,1,4,0
5,5,39,10,161,122,34,0,5,0,34,0,0,13,9,19,5,0,0,0,14,17,12,27,0,12,14,19
2,2,5,4,10,8,0,0,2,6,0,0,0,0,0,0,2,1,3,2,0,0,0,1,0,0,0,1
6,6,30,12,118,79,29,4,6,39,33,4,8,10,5,5,6,10,16,5,5,0,6,7,5,7,7,12
4,4,18,8,59,45,7,3,4,9,10,3,1,2,0,6,4,3,2,3,4,0,4,6,5,5,6,5
12,12,31,24,217,64,127,14,12,46,141,14,27,40,31,7,12,9,5,5,9,0,29,5,6,5,6,7
3,3,91,6,165,108,54,0,3,108,54,0,0,54,0,0,3,0,54,54,0,0,0,0,0,0,0,0
9,9,39,18,188,96,76,7,9,77,83,7,43,8,12,17,9,10,14,10,8,0,13,9,9,5,7,7
12,12,24,24,216,140,56,8,12,58,64,8,16,12,14,8,12,14,15,13,19,0,14,14,11,16,15,15
5,5,54,10,207,142,57,3,5,65,60,3,25,15,11,18,5,14,10,16,12,0,6,18,16,16,9,13
7,7,33,14,207,176,24,0,7,170,24,0,19,0,5,8,7,47,49,55,2,0,0,0,2,6,2,5
3,3,11,6,21,12,6,0,3,12,6,0,0,6,0,0,3,0,6,6,0,0,0,0,0,0,0,0
3,3,13,6,38,34,1,0,3,31,1,0,1,0,0,0,3,10,8,12,0,0,0,0,0,1,1,2
6,6,52,12,181,61,97,17,6,52,114,17,31,31,24,8,6,7,8,6,12,0,11,4,3,4,2,7
5,5,7,10,14,4,5,0,5,2,5,0,0,5,0,1,5,0,1,1,0,0,0,0,0,0,1,0
9,9,30,18,127,83,28,7,9,36,35,7,6,9,9,6,9,8,11,11,9,0,4,10,6,9,6,7
4,4,59,8,195,150,41,0,4,60,41,0,12,11,9,16,4,13,16,19,17,0,9,16,11,12,13,17
7,7,10,14,54,33,12,2,7,16,14,2,5,3,0,2,7,4,1,6,1,0,4,2,2,3,3,9
8,8,21,16,156,137,10,1,8,121,11,1,9,0,0,3,8,37,36,39,3,0,1,4,2,6,2,5
6,6,44,12,176,117,48,5,6,54,53,5,25,8,6,14,6,9,11,9,18,0,9,9,15,5,9,18
10,10,4,20,32,16,4,2,10,7,6,2,3,1,0,1,10,0,2,2,1,0,0,3,2,2,3,0
9,9,10,18,67,39,15,4,9,15,19,4,1,7,3,5,9,4,6,4,7,0,4,3,6,1,0,3
11,11,27,22,215,122,82,0,11,0,82,0,0,26,25,20,11,0,0,0,20,21,31,11,0,17,16,17
3,3,42,6,101,77,17,4,3,30,21,4,3,7,3,12,3,14,10,3,5,0,4,4,9,6,7,7
3,3,44,6,102,69,30,0,3,26,30,0,6,9,7,3,3,7,8,5,11,0,8,6,8,7,6,8
12,12,26,24,214,115,76,11,12,50,87,11,21,20,20,8,12,12,10,7,23,0,15,10,9,12,13,11
11,11,26,22,218,139,68,0,11,0,68,0,0,21,25,20,11,0,0,0,22,16,22,18,0,21,22,20
5,5,32,10,108,70,30,3,5,24,33,3,9,12,3,13,5,6,6,3,8,0,6,1,4,9,10,10
3,3,33,6,80,58,19,0,3,19,19,0,3,6,5,8,3,6,6,4,7,0,5,2,6,7,8,4
4,4,51,8,149,94,47,4,4,44,51,4,13,12,8,10,4,6,13,12,8,0,14,15,4,6,11,9
12,12,13,24,116,71,26,7,12,29,33,7,8,4,7,7,12,8,6,7,10,0,7,5,4,8,8,8
2,2,16,4,20,12,6,0,2,6,6,0,3,2,1,1,2,1,0,2,1,0,0,0,1,1,2,3
7,7,40,14,210,144,48,11,7,50,59,11,17,10,8,17,7,7,6,20,18,0,13,15,9,18,17,17
6,6,23,12,69,42,21,0,6,19,21,0,6,5,6,1,6,3,6,4,5,0,4,4,4,5,5,5
2,2,28,4,47,36,9,0,2,36,9,0,0,9,0,0,2,0,18,18,0,0,0,0,0,0,0,0
2,2,58,4,97,76,19,0,2,76,19,0,0,19,0,0,2,0,38,38,0,0,0,0,0,0,0,0
3,3,12,6,23,13,6,1,3,9,7,1,2,3,0,1,3,1,1,5,0,0,1,0,1,3,1,0
8,8,35,16,212,136,68,0,8,0,68,0,0,28,22,17,8,0,0,0,20,22,18,19,0,20,22,16
4,4,42,8,115,70,38,3,4,34,41,3,10,12,11,12,4,5,11,8,7,0,5,4,9,2,7,5
11,11,34,22,173,75,84,3,11,82,87,3,61,3,7,16,11,7,8,6,5,0,13,6,7,10,3,7
4,4,56,8,174,125,42,3,4,53,45,3,16,9,7,11,4,17,8,12,18,0,10,16,10,17,12,4
6,6,22,12,100,70,19,5,6,28,24,5,5,6,2,9,6,6,11,6,8,0,6,3,5,10,6,6
3,3,57,6,132,95,29,5,3,39,34,5,10,7,3,8,3,5,14,10,14,0,9,6,9,9,12,8
3,3,15,6,36,24,9,0,3,0,9,0,0,3,2,3,3,0,0,0,3,6,4,2,0,2,3,5
6,6,20,12,54,32,16,0,6,20,16,0,9,4,1,4,6,5,3,3,3,0,2,5,2,3,1,3
7,7,14,14,45,21,17,0,7,8,17,0,3,12,0,2,7,0,2,3,2,0,2,1,2,3,3,3
5,5,19,10,73,48,18,2,5,26,20,2,4,6,4,0,5,9,5,8,6,0,4,4,4,4,3,5
7,7,26,14,123,65,43,8,7,32,51,8,12,10,12,6,7,6,7,7,4,0,9,5,13,8,5,4
12,12,32,24,216,56,128,20,12,49,148,20,36,32,28,5,12,5,5,3,6,0,32,4,4,8,6,10
7,7,39,14,161,91,57,6,7,48,63,6,30,6,14,17,7,9,3,6,12,0,7,8,8,6,15,7
11,11,26,22,211,130,65,5,11,52,70,5,16,12,17,8,11,7,15,14,12,0,20,16,14,13,17,14
4,4,7,8,22,12,6,0,4,7,6,0,2,1,1,1,4,4,0,1,0,0,2,0,1,2,1,2
9,9,38,18,210,140,54,7,9,57,61,7,14,17,11,17,9,9,15,19,8,0,12,15,14,15,12,16
2,2,37,4,65,54,9,0,2,16,9,0,3,1,3,8,2,2,3,8,6,0,2,11,4,5,6,1
11,11,27,22,216,133,63,9,11,63,72,9,27,16,9,14,11,10,12,14,16,0,11,12,17,11,16,11
7,7,37,14,207,152,44,4,7,58,48,4,15,8,10,14,7,12,16,15,19,0,11,15,12,21,16,12
9,9,11,18,25,6,10,0,9,1,10,0,0,8,2,1,9,0,0,1,1,0,0,1,1,1,0,0
3,3,41,6,91,62,24,2,3,23,26,2,5,8,3,4,3,8,5,5,7,0,8,5,6,7,6,9
11,11,16,22,127,78,33,5,11,33,38,5,11,10,9,7,11,5,6,11,13,0,3,4,9,7,5,11
8,8,12,16,71,43,19,1,8,17,20,1,6,7,1,9,8,5,2,4,3,0,5,2,4,4,8,2
8,8,29,16,178,116,54,0,8,0,54,0,0,19,15,17,8,0,0,0,22,12,20,16,0,19,16,14
11,11,25,22,213,146,50,6,11,51,56,6,15,18,12,17,11,6,13,17,20,0,5,19,18,12,16,8
6,6,17,12,71,37,25,3,6,19,28,3,7,5,6,2,6,5,3,4,2,0,7,5,2,3,2,9
5,5,17,10,63,41,15,2,5,13,17,2,3,4,7,7,5,5,2,3,2,0,1,4,6,4,5,3
11,11,8,22,64,32,18,3,11,15,21,3,7,1,5,5,11,3,3,2,0,0,5,4,2,2,6,5
8,8,41,16,193,64,107,14,8,66,121,14,36,18,26,6,8,10,11,9,5,0,27,6,3,5,3,6
2,2,40,4,67,53,12,0,2,22,12,0,6,2,0,7,2,5,7,4,7,0,4,5,3,7,4,4
11,11,23,22,176,95,63,7,11,46,70,7,22,10,14,11,11,12,5,7,9,0,17,10,11,10,7,13
3,3,34,6,84,63,18,0,3,0,18,0,0,6,7,8,3,0,0,0,7,13,5,7,0,7,10,11
10,10,41,20,214,103,96,5,10,94,101,5,61,6,11,16,10,9,14,10,7,0,18,10,5,7,14,11
12,12,24,24,215,130,73,0,12,0,73,0,0,15,24,19,12,0,0,0,16,20,34,18,0,15,19,23
8,8,13,16,39,15,16,0,8,8,16,0,4,10,2,2,8,0,2,2,0,0,0,1,2,1,3,2
5,5,27,10,94,66,21,2,5,25,23,2,2,9,4,7,5,5,13,5,10,0,6,4,3,5,6,8
5,5,48,10,186,133,42,6,5,57,48,6,10,19,7,18,5,18,10,19,12,0,6,10,12,10,12,12
10,10,22,20,106,62,31,3,10,25,34,3,7,9,9,7,10,8,5,5,8,0,6,8,8,7,3,3
11,11,39,22,214,106,90,7,11,88,97,7,63,8,7,18,11,12,7,6,5,0,12,7,17,11,14,9
9,9,6,18,28,13,5,1,9,7,6,1,1,2,1,1,9,3,1,2,2,0,1,0,2,0,0,2
3,3,19,6,34,23,8,0,3,12,8,0,4,3,0,3,3,4,2,2,2,0,1,3,0,1,3,3
4,4,56,8,206,187,12,3,4,176,15,3,12,0,0,3,4,51,60,53,1,0,0,7,2,5,2,3
5,5,16,10,60,37,16,2,5,16,18,2,5,1,5,6,5,3,2,6,5,0,5,4,4,4,1,2
6,6,38,12,152,100,41,5,6,41,46,5,13,11,9,10,6,12,6,10,11,0,8,12,7,7,17,8
6,6,46,12,209,145,49,9,6,49,58,9,12,18,9,15,6,13,9,15,12,0,10,13,15,15,19,19
8,8,36,16,214,142,54,10,8,58,64,10,16,11,15,15,8,9,15,18,11,0,12,12,13,19,17,13
4,4,13,8,43,31,7,1,4,14,8,1,3,1,3,5,4,3,3,5,2,0,0,1,4,2,2,4
11,11,26,22,220,152,48,9,11,55,57,9,18,9,13,14,11,14,15,8,22,0,8,13,15,17,16,18
6,6,18,12,91,69,15,1,6,29,16,1,4,4,4,5,6,5,8,12,4,0,3,9,4,7,10,5
5,5,14,10,64,53,6,0,5,52,6,0,5,1,0,1,5,17,13,17,1,0,0,0,3,1,0,0
10,10,38,20,215,131,64,10,10,62,74,10,17,19,11,11,10,15,13,17,16,0,17,13,6,9,15,16
8,8,11,16,52,12,28,4,8,15,32,4,10,8,3,0,8,2,1,2,3,0,7,1,2,0,0,1
5,5,21,10,59,29,25,0,5,21,25,0,13,4,4,8,5,4,2,2,4,0,4,1,2,3,2,1
8,8,10,16,21,3,10,0,8,2,10,0,1,9,0,1,8,1,0,0,0,0,0,0,0,1,0,0
4,4,46,8,172,158,8,2,4,143,10,2,8,0,0,0,4,54,46,35,3,0,0,5,5,2,4,4
8,8,11,16,32,16,8,0,8,16,8,0,0,8,0,0,8,0,8,8,0,0,0,0,0,0,0,0
8,8,37,16,214,136,58,12,8,53,70,12,14,12,16,17,8,17,11,11,15,0,16,12,12,13,13,15
11,11,18,22,177,151,9,6,11,135,15,6,8,0,0,1,11,46,42,39,5,0,1,1,6,3,4,4
11,11,10,22,84,49,22,2,11,10,24,2,1,8,6,7,11,4,1,4,5,0,7,5,7,6,6,4
5,5,28,10,99,56,35,3,5,23,38,3,11,10,5,5,5,5,3,4,5,0,9,8,8,6,6,6
7,7,25,14,126,75,39,5,7,29,44,5,11,9,10,5,7,6,8,4,8,0,9,12,7,11,9,5
9,9,33,18,209,122,68,10,9,51,78,10,19,13,19,12,9,7,15,10,11,0,17,12,19,12,11,13
4,4,13,8,42,28,10,0,4,0,10,0,0,3,4,4,4,0,0,0,4,3,3,7,0,4,5,1
2,2,22,4,37,28,7,0,2,28,7,0,0,7,0,0,2,0,14,14,0,0,0,0,0,0,0,0
4,4,24,8,55,37,12,2,4,12,14,2,2,2,6,5,4,5,3,2,3,0,2,2,4,3,5,5
6,6,47,12,206,134,59,7,6,53,66,7,16,21,12,15,6,11,13,13,6,0,10,21,16,20,11,8
3,3,41,6,95,65,26,1,3,31,27,1,9,6,4,6,3,6,7,9,7,0,7,5,8,3,5,9
5,5,7,10,27,14,8,0,5,0,8,0,0,2,4,0,5,0,0,0,1,5,2,3,0,1,2,2
2,2,18,4,23,17,4,0,2,9,4,0,1,2,1,2,2,1,5,2,2,0,0,1,1,1,2,0
10,10,6,20,26,9,6,1,10,3,7,1,1,1,2,0,10,1,0,1,1,0,2,2,0,2,2,0
3,3,7,6,15,6,6,0,3,7,6,0,3,0,0,0,3,2,1,1,1,0,3,0,0,0,0,1
5,5,8,10,32,21,4,2,5,9,6,2,1,3,0,1,5,4,2,2,2,0,0,3,3,2,1,1
7,7,40,14,210,141,54,8,7,55,62,8,13,12,18,14,7,14,11,17,13,0,11,9,16,16,19,12
3,3,59,6,141,105,30,3,3,40,33,3,11,5,9,13,3,12,13,4,11,0,5,11,13,10,6,12
7,7,4,14,20,9,4,0,7,3,4,0,1,3,0,4,7,0,2,0,0,0,0,0,0,1,0,2
4,4,49,8,100,64,32,0,4,64,32,0,0,32,0,0,4,0,32,32,0,0,0,0,0,0,0,0
4,4,59,8,140,48,80,8,4,41,88,8,28,15,22,5,4,6,2,5,7,0,15,8,3,1,7,4
7,7,5,14,28,14,7,0,7,0,7,0,0,3,4,3,7,0,0,0,5,0,0,0,0,1,0,5
4,4,10,8,31,19,7,1,4,9,8,1,2,2,1,1,4,2,2,3,2,0,2,2,1,1,3,2
3,3,51,6,93,60,30,0,3,60,30,0,0,30,0,0,3,0,30,30,0,0,0,0,0,0,0,0
2,2,55,4,91,70,19,0,2,23,19,0,5,6,5,6,2,5,4,9,13,0,3,5,7,6,8,7
2,2,14,4,24,18,4,0,2,0,4,0,0,3,0,1,2,0,0,0,4,7,1,0,0,1,3,2
4,4,46,8,135,95,32,4,4,38,36,4,9,13,4,8,4,8,8,13,9,0,6,15,10,10,7,7
9,9,13,18,59,37,9,4,9,14,13,4,3,3,2,5,9,3,6,2,3,0,1,4,5,4,3,2
11,11,23,22,184,104,69,0,11,0,69,0,0,22,16,25,11,0,0,0,13,9,31,20,0,12,15,10
4,4,26,8,77,50,19,4,4,18,23,4,3,4,7,6,4,5,6,4,3,0,5,11,3,5,2,5
11,11,25,22,211,144,48,8,11,59,56,8,11,13,13,12,11,10,19,19,15,0,11,17,17,12,13,10
4,4,54,8,148,94,44,6,4,44,50,6,15,10,7,13,4,10,9,10,3,0,12,8,9,9,9,14
6,6,11,12,36,21,7,2,6,10,9,2,3,1,2,1,6,2,3,2,2,0,1,2,5,1,2,1
12,12,24,24,212,134,56,10,12,48,66,10,15,13,14,13,12,12,13,8,13,0,14,15,14,11,14,21
7,7,50,14,209,75,113,14,7,64,127,14,36,22,32,6,7,9,10,9,4,0,23,7,5,10,7,8
10,10,30,20,215,132,61,12,10,58,73,12,13,11,21,10,10,18,10,17,12,0,16,18,10,12,14,11
4,4,50,8,151,101,43,3,4,34,46,3,10,5,9,8,4,6,10,8,15,0,19,12,10,11,13,8
6,6,48,12,173,62,95,10,6,49,105,10,28,26,23,6,6,3,7,11,4,0,18,7,7,7,7,3
9,9,12,18,82,47,26,0,9,0,26,0,0,8,9,6,9,0,0,0,8,6,9,8,0,6,7,6
10,10,29,20,216,132,74,0,10,0,74,0,0,21,31,16,10,0,0,0,24,19,22,15,0,15,23,20
4,4,11,8,36,26,4,2,4,12,6,2,2,0,0,2,4,3,2,5,3,0,2,4,2,1,1,3
12,12,6,24,35,18,4,1,12,8,5,1,1,2,1,2,12,1,3,3,1,0,0,4,0,2,0,2
7,7,37,14,207,154,40,6,7,56,46,6,11,11,7,14,7,14,20,11,14,0,11,21,14,16,12,18
3,3,56,6,102,66,33,0,3,66,33,0,0,33,0,0,3,0,33,33,0,0,0,0,0,0,0,0
4,4,54,8,204,189,10,1,4,163,11,1,10,0,0,6,4,50,52,51,5,0,0,3,5,5,6,6
10,10,29,20,215,130,75,0,10,0,75,0,0,24,30,15,10,0,0,0,17,21,21,21,0,21,21,14
10,10,14,20,106,65,28,3,10,20,31,3,7,5,7,7,10,6,2,5,10,0,9,9,7,4,10,5
6,6,24,12,89,56,24,3,6,21,27,3,4,12,6,7,6,6,8,3,7,0,2,3,4,3,7,8
4,4,31,8,85,55,25,1,4,22,26,1,10,4,5,11,4,2,2,8,8,0,6,3,3,4,4,10
2,2,6,4,10,7,1,0,2,1,1,0,0,1,0,2,2,0,0,1,1,0,0,1,2,0,0,0
12,12,24,24,127,70,38,7,12,35,45,7,15,12,4,6,12,6,8,6,7,0,7,8,10,3,9,7
11,11,24,22,199,123,65,0,11,0,65,0,0,19,22,20,11,0,0,0,17,18,24,16,0,14,19,19
2,2,55,4,92,72,18,0,2,72,18,0,0,18,0,0,2,0,36,36,0,0,0,0,0,0,0,0
4,4,43,8,124,86,32,2,4,43,34,2,13,3,8,16,4,11,11,8,7,0,8,5,4,6,5,13
3,3,9,6,23,16,4,0,3,6,4,0,2,2,0,2,3,1,2,1,4,0,0,1,1,2,2,0
10,10,28,20,213,140,59,4,10,64,63,4,15,12,19,11,10,18,15,16,12,0,13,8,15,8,22,15
6,6,45,12,204,139,55,4,6,50,59,4,9,18,13,11,6,13,15,13,19,0,15,15,13,10,17,13
4,4,16,8,51,34,13,0,4,11,13,0,2,5,2,3,4,4,2,3,7,0,4,3,4,1,5,2
9,9,18,18,125,82,31,3,9,40,34,3,13,7,8,6,9,6,10,11,7,0,3,3,14,11,7,7
7,7,39,14,152,40,89,16,7,33,105,16,19,25,25,4,7,3,3,8,5,0,20,1,2,6,3,5
11,11,22,22,183,121,43,8,11,41,51,8,14,12,7,11,11,6,12,9,13,0,10,12,10,20,14,14
12,12,30,24,140,41,86,1,12,80,87,1,67,6,4,13,12,7,4,2,2,0,9,4,2,2,2,3
3,3,27,6,64,46,13,2,3,15,15,2,5,2,2,3,3,3,4,3,5,0,4,4,7,7,5,5
7,7,8,14,51,40,3,1,7,34,4,1,3,0,0,2,7,9,12,10,1,0,0,0,1,1,3,1
2,2,9,4,17,14,1,0,2,11,1,0,1,0,0,1,2,4,2,4,0,0,0,0,0,1,1,1
8,8,24,16,104,73,20,3,8,27,23,3,10,3,3,12,8,3,7,7,6,0,4,9,7,10,7,5
12,12,29,24,142,83,46,1,12,40,47,1,12,16,11,5,12,10,9,9,6,0,7,7,12,5,10,10
